id,nome,codigo,sigla,municipio_id,padrao,principal
462,Marabá,05,NULL,282,N,N
463,"Palestina do Pará",05,NULL,283,N,N
464,"São Domingos do Araguaia",05,NULL,284,N,N
465,"São João do Araguaia",05,NULL,285,N,N
466,Apinagés,10,NULL,285,N,N
467,"Pau D'Arco",05,NULL,286,N,N
468,Piçarra,05,NULL,287,N,N
469,Redenção,05,NULL,288,N,N
470,"Rio Maria",05,NULL,289,N,N
471,"São Geraldo do Araguaia",05,NULL,290,N,N
472,Sapucaia,05,NULL,291,N,N
473,Xinguara,05,NULL,292,N,N
474,"Conceição do Araguaia",05,NULL,293,N,N
475,"Floresta do Araguaia",05,NULL,294,N,N
476,"Santa Maria das Barreiras",05,NULL,295,N,N
477,"Casa de Tábua",10,NULL,295,N,N
478,"Nova Esperança",15,NULL,295,N,N
479,"Santana do Araguaia",05,NULL,296,N,N
480,Calçoene,05,NULL,297,N,N
481,Cunani,10,NULL,297,N,N
482,Lourenço,15,NULL,297,N,N
483,Oiapoque,05,NULL,298,N,N
484,"Clevelândia do Norte",10,NULL,298,N,N
485,"Vila Velha",15,NULL,298,N,N
486,Amapá,05,NULL,299,N,N
487,Sucuriju,15,NULL,299,N,N
488,Pracuúba,05,NULL,300,N,N
489,Tartarugalzinho,05,NULL,301,N,N
490,"Serra do Navio",05,NULL,302,N,N
491,Cachaço,10,NULL,302,N,N
492,"Pedra Branca do Amapari",05,NULL,303,N,N
493,Cutias,05,NULL,304,N,N
494,"Ferreira Gomes",05,NULL,305,N,N
495,Itaubal,05,NULL,306,N,N
496,Macapá,05,NULL,307,N,N
497,Bailique,10,NULL,307,N,N
498,Carapanantuba,11,NULL,307,N,N
499,Fazendinha,12,NULL,307,N,N
500,"São Joaquim do Pacuí",24,NULL,307,N,N
501,"Porto Grande",05,NULL,308,N,N
502,Santana,05,NULL,309,N,N
503,Anauerapucu,07,NULL,309,N,N
504,"Igarapé do Lago",10,NULL,309,N,N
505,"Ilha de Santana",15,NULL,309,N,N
506,Piaçacá,20,NULL,309,N,N
507,Pirativa,23,NULL,309,N,N
508,"Laranjal do Jari",05,NULL,310,N,N
509,Mazagão,05,NULL,311,N,N
510,Carvão,08,NULL,311,N,N
511,"Mazagão Velho",15,NULL,311,N,N
512,"Vitória do Jari",05,NULL,312,N,N
513,Aguiarnópolis,05,NULL,313,N,N
514,Ananás,05,NULL,314,N,N
515,Angico,05,NULL,315,N,N
516,Araguatins,05,NULL,316,N,N
517,Natal,10,NULL,316,N,N
518,Augustinópolis,05,NULL,317,N,N
519,"Axixá do Tocantins",05,NULL,318,N,N
520,"Buriti do Tocantins",05,NULL,319,N,N
521,Cachoeirinha,05,NULL,320,N,N
522,"Carrasco Bonito",05,NULL,321,N,N
523,Darcinópolis,05,NULL,322,N,N
524,Esperantina,05,NULL,323,N,N
525,Itaguatins,05,NULL,324,N,N
526,Luzinópolis,05,NULL,325,N,N
527,"Maurilândia do Tocantins",05,NULL,326,N,N
528,"Palmeiras do Tocantins",05,NULL,327,N,N
529,Nazaré,05,NULL,328,N,N
530,"Praia Norte",05,NULL,329,N,N
531,Riachinho,05,NULL,330,N,N
532,Sampaio,05,NULL,331,N,N
533,"Santa Terezinha do Tocantins",05,NULL,332,N,N
534,"São Bento do Tocantins",05,NULL,333,N,N
535,"São Miguel do Tocantins",05,NULL,334,N,N
536,"São Sebastião do Tocantins",05,NULL,335,N,N
537,"Sítio Novo do Tocantins",05,NULL,336,N,N
538,Tocantinópolis,05,NULL,337,N,N
539,Aragominas,05,NULL,338,N,N
540,Araguaína,05,NULL,339,N,N
541,Araguanã,05,NULL,340,N,N
542,Arapoema,05,NULL,341,N,N
543,Babaçulândia,05,NULL,342,N,N
544,"Bandeirantes do Tocantins",05,NULL,343,N,N
545,Carmolândia,05,NULL,344,N,N
546,"Colinas do Tocantins",05,NULL,345,N,N
547,Filadélfia,05,NULL,346,N,N
548,Bielândia,10,NULL,346,N,N
549,Muricilândia,05,NULL,347,N,N
550,"Nova Olinda",05,NULL,348,N,N
551,Palmeirante,05,NULL,349,N,N
552,"Pau D'Arco",05,NULL,350,N,N
553,Piraquê,05,NULL,351,N,N
554,"Santa Fé do Araguaia",05,NULL,352,N,N
555,Wanderlândia,05,NULL,353,N,N
556,Xambioá,05,NULL,354,N,N
557,Abreulândia,05,NULL,355,N,N
558,Araguacema,05,NULL,356,N,N
559,Barrolândia,05,NULL,357,N,N
560,"Bernardo Sayão",05,NULL,358,N,N
561,"Brasilândia do Tocantins",05,NULL,359,N,N
562,Caseara,05,NULL,360,N,N
563,"Couto Magalhães",05,NULL,361,N,N
564,"Divinópolis do Tocantins",05,NULL,362,N,N
565,"Dois Irmãos do Tocantins",05,NULL,363,N,N
566,"Fortaleza do Tabocão",05,NULL,364,N,N
567,Goianorte,05,NULL,365,N,N
568,Guaraí,05,NULL,366,N,N
569,Mirandópolis,10,NULL,366,N,N
570,"Itaporã do Tocantins",05,NULL,367,N,N
571,Juarina,05,NULL,368,N,N
572,"Marianópolis do Tocantins",05,NULL,369,N,N
573,"Miracema do Tocantins",05,NULL,370,N,N
574,Miranorte,05,NULL,371,N,N
575,"Monte Santo do Tocantins",05,NULL,372,N,N
576,Pequizeiro,05,NULL,373,N,N
577,Colméia,05,NULL,374,N,N
578,"Presidente Kennedy",05,NULL,375,N,N
579,"Rio dos Bois",05,NULL,376,N,N
580,Tupirama,05,NULL,377,N,N
581,Tupiratins,05,NULL,378,N,N
582,Araguaçu,05,NULL,379,N,N
583,"Chapada de Areia",05,NULL,380,N,N
584,Cristalândia,05,NULL,381,N,N
585,Dueré,05,NULL,382,N,N
586,Fátima,05,NULL,383,N,N
587,"Formoso do Araguaia",05,NULL,384,N,N
588,"Lagoa da Confusão",05,NULL,385,N,N
589,"Nova Rosalândia",05,NULL,386,N,N
590,"Oliveira de Fátima",05,NULL,387,N,N
591,"Paraíso do Tocantins",05,NULL,388,N,N
